name
Carthamus mitissimus
Castanea sativa
Catabrosa aquatica
Catapodium rigidum
Caucalis platycarpos
Centaurea calcitrapa
Centaurea decipiens
Centaurea jacea
Centaurea scabiosa
Centaurea stoebe
Centaurium erythraea
Centaurium pulchellum
Centranthus ruber
Cephalanthera damasonium
Cephalanthera longifolia
Cephalanthera rubra
Cerastium arvense
Cerastium brachypetalum
Cerastium fontanum
Cerastium glomeratum
Cerastium pumilum
Cerastium semidecandrum
Ceratophyllum demersum
Ceratophyllum submersum
Cervaria rivini
Chaenorrhinum minus
Chaerophyllum temulum
Chamaemelum nobile
Chelidonium majus
Chenopodiastrum hybridum
Chenopodiastrum murale
Chenopodium album
Chenopodium ficifolium
Chenopodium vulvaria
Chimaphila umbellata
Chondrilla juncea
Chrysosplenium alternifolium
Chrysosplenium oppositifolium
Cicendia filiformis
Cichorium intybus
Cicuta virosa
Circaea lutetiana
Cirsium acaulon
Cirsium arvense
Cirsium dissectum
Cirsium eriophorum
Cirsium oleraceum
Cirsium palustre
Cirsium tuberosum
Cirsium vulgare
Cistus umbellatus
Cladanthus mixtus
Cladium mariscus
Clematis vitalba
Clinopodium acinos
Clinopodium nepeta
Clinopodium vulgare
Cochlearia danica
Coincya monensis
Colchicum autumnale
Colutea arborescens
Comarum palustre
Conium maculatum
Conopodium majus
Conringia orientalis
Convallaria majalis
Convolvulus arvensis
Convolvulus sepium
Convolvulus silvaticus
Corispermum intermedium
Cornus mas
Cornus sanguinea
Coronilla minima
Coronilla varia
Corydalis solida
Corylus avellana
Corynephorus canescens
Crassula tillaea
Crassula vaillantii
Crataegus germanica
Crataegus laevigata
Crataegus monogyna
Crepis biennis
Crepis bursifolia
Crepis capillaris
Crepis foetida
Crepis pulchra
Crepis sancta
Crepis setosa
Crepis tectorum
Crepis vesicaria
Cruciata laevipes
Crypsis alopecuroides
Cuscuta epilinum
Cuscuta epithymum
Cuscuta europaea
Cyanus segetum
Cymbalaria muralis
Cynodon dactylon
Cynoglossum officinale
Cynosurus cristatus
Cyperus eragrostis
Cyperus flavescens
Cyperus fuscus
Cyperus longus
Cystopteris fragilis
Cytisus decumbens
Cytisus lotoides
Cytisus scoparius
Dactylis glomerata
Dactylorhiza fuchsii
Dactylorhiza incarnata
Dactylorhiza maculata
Dactylorhiza majalis
Dactylorhiza praetermissa
Dactylorhiza sambucina
Damasonium alisma
Danthonia decumbens
Daphne laureola
Daphne mezereum
Datura stramonium
Daucus carota
Delphinium consolida
Deschampsia cespitosa
Deschampsia media
Descurainia sophia
Dianthus armeria
Dianthus carthusianorum
Dianthus deltoides
Dianthus superbus
Dichoropetalum carvifolia
Digitalis lutea
Digitalis purpurea
Digitaria ischaemum
Digitaria sanguinalis
Dioscorea communis
Diplotaxis muralis
Diplotaxis tenuifolia
Diplotaxis viminea
Dipsacus fullonum
Dipsacus pilosus
Dittrichia graveolens
Doronicum plantagineum
Draba muralis
Draba verna
Drosera rotundifolia
Dryopteris affinis
Dryopteris carthusiana
Dryopteris cristata
Dryopteris dilatata
Dryopteris filix-mas
Dysphania ambrosioides
Dysphania botrys
Dysphania pumilio
Echinochloa crus-galli
Echium vulgare
Egeria densa
Elatine alsinastrum
Elatine hexandra
Elatine hydropiper
Eleocharis acicularis
Eleocharis multicaulis
Eleocharis ovata
Eleocharis palustris
Eleocharis quinqueflora
Eleocharis uniglumis
Elodea canadensis
Elymus caninus
Elytrigia campestris
Elytrigia repens
Epilobium angustifolium
Epilobium brachycarpum
Epilobium ciliatum
Epilobium hirsutum
Epilobium lanceolatum
Epilobium montanum
Epilobium obscurum
Epilobium palustre
Epilobium parviflorum
Epilobium roseum
Epilobium tetragonum
Epipactis atrorubens
Epipactis helleborine
Epipactis microphylla
Epipactis muelleri
Epipactis palustris
Epipactis purpurata
Equisetum arvense
Equisetum fluviatile
Equisetum palustre
Equisetum ramosissimum
Equisetum sylvaticum
Equisetum telmateia
Equisetum variegatum
Eragrostis cilianensis
Eragrostis mexicana
Eragrostis minor
Eragrostis multicaulis
Eragrostis pectinacea
Eragrostis pilosa
Eragrostis virescens
Erica ciliaris
Erica cinerea
Erica scoparia
Erica tetralix
Erica vagans
Erigeron acris
Erigeron annuus
Erigeron bonariensis
Erigeron canadensis
Erigeron karvinskianus
Erigeron sumatrensis
Eriophorum angustifolium
Eriophorum gracile
Eriophorum latifolium
Eriophorum vaginatum
Erodium cicutarium
Erodium moschatum
Erucastrum supinum
Ervum gracile
Ervum tetraspermum
Eryngium campestre
Erysimum cheiranthoides
Erysimum odoratum
Euonymus europaeus
Eupatorium cannabinum
Euphorbia amygdaloides
Euphorbia cyparissias
Euphorbia dulcis
Euphorbia esula
Euphorbia exigua
Euphorbia falcata
Euphorbia flavicoma
Euphorbia helioscopia
Euphorbia lathyris
Euphorbia loreyi
Euphorbia maculata
Euphorbia palustris
Euphorbia peplus
Euphorbia platyphyllos
Euphorbia prostrata
Euphorbia seguieriana
Euphorbia stricta
Euphrasia micrantha
Euphrasia nemorosa
Euphrasia officinalis
Euphrasia stricta
Exaculum pusillum
Fagus sylvatica
Falcaria vulgaris
Fallopia convolvulus
Fallopia dumetorum
Festuca filiformis
Festuca heterophylla
Festuca lemanii
Festuca longifolia
Festuca marginata
Festuca ovina
Festuca rubra
Ficaria verna
Filago arvensis
Filago germanica
Filago lutescens
Filago pyramidata
Filipendula ulmaria
Filipendula vulgaris
Foeniculum vulgare
Fragaria moschata
Fragaria vesca
Fragaria viridis
Frangula alnus
Fraxinus angustifolia
Fraxinus excelsior
Fumana procumbens
Fumaria bastardii
Fumaria capreolata
Fumaria densiflora
Fumaria muralis
Fumaria officinalis
Fumaria parviflora
Fumaria vaillantii
Gagea bohemica
Gagea villosa
Galanthus nivalis
Galatella linosyris
Galega officinalis
Galeopsis angustifolia
Galeopsis segetum
Galeopsis tetrahit
Galinsoga parviflora
Galinsoga quadriradiata
Galium album
Galium aparine
Galium boreale
Galium debile
Galium divaricatum
Galium elongatum
Galium fleurotii
Galium glaucum
Galium odoratum
Galium palustre
Galium parisiense
Galium pumilum
Galium saxatile
Galium spurium
Galium tricornutum
Galium uliginosum
Galium verum
Gaudinia fragilis
Genista anglica
Genista germanica
Genista pilosa
Genista sagittalis
Genista tinctoria
Gentiana cruciata
Gentiana pneumonanthe
Gentianella germanica
Gentianopsis ciliata
Geranium columbinum
Geranium dissectum
Geranium lucidum
Geranium molle
Geranium purpureum
Geranium pusillum
Geranium pyrenaicum
Geranium robertianum
Geranium rotundifolium
Geranium sanguineum
Geum rivale
Geum urbanum
Glebionis segetum
Glechoma hederacea
Globularia bisnagarica
Glyceria declinata
Glyceria fluitans
Glyceria maxima
Glyceria notata
Glyceria striata
Gnaphalium uliginosum
Goodyera repens
Gratiola officinalis
Groenlandia densa
Gymnadenia conopsea
Gymnadenia odoratissima
Gymnocarpium dryopteris
Gymnocarpium robertianum
Gypsophila muralis
Hammarbya paludosa
Hedera helix
Helianthemum apenninum
Helianthemum canum
Helianthemum nummularium
Helictochloa pratensis
Heliotropium europaeum
Helleborus foetidus
Helleborus viridis
Helminthotheca echioides
Helosciadium inundatum
Helosciadium nodiflorum
Helosciadium repens
Heracleum mantegazzianum
Heracleum sphondylium
Herminium monorchis
Herniaria glabra
Herniaria hirsuta
Hesperis matronalis
Hieracium glaucinum
Hieracium lachenalii
Hieracium laevigatum
Hieracium maculatum
Hieracium murorum
Hieracium sabaudum
Hieracium umbellatum
Himantoglossum hircinum
Hippocrepis comosa
Hippuris vulgaris
Hirschfeldia incana
Holcus lanatus
Holcus mollis
Holosteum umbellatum
Hordelymus europaeus
Hordeum murinum
Hordeum secalinum
Hornungia petraea
Hottonia palustris
Humulus lupulus
Huperzia selago
Hyacinthoides non-scripta
Hydrocharis morsus-ranae
Hydrocotyle ranunculoides
Hydrocotyle vulgaris
Hylotelephium telephium
Hyoscyamus niger
Hypericum androsaemum
Hypericum elodes
Hypericum hirsutum
Hypericum humifusum
Hypericum maculatum
Hypericum montanum
Hypericum perforatum
Hypericum pulchrum
Hypericum tetrapterum
Hypochaeris glabra
Hypochaeris maculata
Hypochaeris radicata
Iberis amara
Ilex aquifolium
Illecebrum verticillatum
Impatiens balfouri
Impatiens capensis
Impatiens glandulifera
Impatiens noli-tangere
Impatiens parviflora
Inula britannica
Inula conyza
Inula helenium
Inula hirta
Inula salicina
Iris foetidissima
Iris pseudacorus
Isatis tinctoria
Isolepis fluitans
Isolepis setacea
Isopyrum thalictroides
Jacobaea adonidifolia
Jacobaea aquatica
Jacobaea erucifolia
Jacobaea paludosa
Jacobaea vulgaris
Juglans regia
Juncus acutiflorus
Juncus anceps
Juncus articulatus
Juncus bufonius
Juncus bulbosus
Juncus capitatus
Juncus compressus
Juncus conglomeratus
Juncus effusus
Juncus inflexus
Juncus pygmaeus
Juncus squarrosus
Juncus subnodulosus
Juncus tenuis
Juniperus communis
Kickxia elatine
Kickxia spuria
Knautia arvensis
Koeleria macrantha
